name;anchor_1;anchor_22;anchor_24;anchor_25;anchor_27;anchor_38;anchor_39;anchor_9;all
Manual subtitles;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3000;0.0500
LIMSI transcripts;0.0000;0;0.0000;0;0;0;0;0;0.0333
LIUM transcripts;0.1000;0;0.0000;0;0.0000;0;0.2000;0;0.0400
NST/Sheffield;0;0;0.0000;0;0;0.1000;0.1000;0;0.0467
All transcript and subtitle;0.0000;0.0000;0.0000;0.3000;0.0000;0.0000;0.0000;0.0000;0.0407
Manual subtitles (Concept2);0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4000;0.1000
LIMSI transcripts (Concept2);0.0000;0;0.0000;0;0;0;0;0.0000;0.0625
LIUM transcripts (Concept2);0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0316
NST/Sheffield (Concept2);0;0.0000;0.2000;0;0.0000;0.2000;0.1000;0;0.0350
All transcript and subtitle (Concept2);0.0000;0.0000;0.0000;0.3000;0.0000;0.0000;0.0000;0.0000;0.0250
